"id","name","province_name","aliases_csv"
R80302369,Abdara,Khyber Pakhtunkhwa,""
R80302288,Khwazakhela,Khyber Pakhtunkhwa,""
R80302334,Landikotal,Khyber Pakhtunkhwa,""
R80302314,Aman Kot,Khyber Pakhtunkhwa,""
R80302345,Bakshi Pul,Khyber Pakhtunkhwa,""
R80302316,Manyar,Khyber Pakhtunkhwa,""
R80302375,Mingora,Khyber Pakhtunkhwa,""
R80302323,Pabbi,Khyber Pakhtunkhwa,""
R80302340,Ranjai,Khyber Pakhtunkhwa,""
R80302308,Bashir Abad,Khyber Pakhtunkhwa,""
R80302380,Shabqadar,Khyber Pakhtunkhwa,""
R80302344,Batrasi,Khyber Pakhtunkhwa,""
R80302353,Tappi,Khyber Pakhtunkhwa,""
RPK56,Alpuri,Khyber Pakhtunkhwa,""
R80302333,Chamkani,Khyber Pakhtunkhwa,""
R80302302,Aboha,Khyber Pakhtunkhwa,""
RPK3,Alipur,Punjab,""
R80302366,Battagram,Khyber Pakhtunkhwa,""
R80302376,Dir,Khyber Pakhtunkhwa,""
R80302386,Dingi,Khyber Pakhtunkhwa,""
R80302321,Gandaf,Khyber Pakhtunkhwa,""
R80302351,Garlat Balakot,Khyber Pakhtunkhwa,""
R80302326,Ghazi,Khyber Pakhtunkhwa,""
R80302318,Gurmani,Khyber Pakhtunkhwa,""
R80302298,Jalala,Khyber Pakhtunkhwa,""
R80302339,Khairabad,Khyber Pakhtunkhwa,""
R80302311,Char Bagh,Khyber Pakhtunkhwa,""
R80302381,Islampur,Khyber Pakhtunkhwa,""
R80302365,Gadoon,Khyber Pakhtunkhwa,""
R80302347,Matta,Khyber Pakhtunkhwa,""
R80302265,Shangla Hill,Khyber Pakhtunkhwa,""
R80302384,Kamalia,Khyber Pakhtunkhwa,""
R80302284,Timergera,Khyber Pakhtunkhwa,""
R80302327,Karnal Sher Kallay,Khyber Pakhtunkhwa,""
R80302268,Khushhal Kot,Khyber Pakhtunkhwa,""
R80302346,Kotla Mohsin Khan,Khyber Pakhtunkhwa,""
R80302291,Kund,Khyber Pakhtunkhwa,""
R80302278,Malikabad,Khyber Pakhtunkhwa,""
R80302277,Marghazar,Khyber Pakhtunkhwa,""
R80302293,Mouza Muhammad Khan,Khyber Pakhtunkhwa,""
R80302331,Nissata,Khyber Pakhtunkhwa,""
R80302271,Nizampur,Khyber Pakhtunkhwa,""
R80302300,Panr,Khyber Pakhtunkhwa,""
R80302390,Pir Piay,Khyber Pakhtunkhwa,""
R80302371,Qaldara,Khyber Pakhtunkhwa,""
R80302303,Rawlakot,Khyber Pakhtunkhwa,""
R80302337,Sangota,Khyber Pakhtunkhwa,""
R80302387,Sathi Town,Khyber Pakhtunkhwa,""
R80302379,Seni Gumbat,Khyber Pakhtunkhwa,""
R80302372,Shagai,Khyber Pakhtunkhwa,""
R80302335,Shirin Kotay,Khyber Pakhtunkhwa,""
R80302368,Sobra City,Khyber Pakhtunkhwa,""
R80302349,Tajori,Khyber Pakhtunkhwa,""
R80302304,Talash,Khyber Pakhtunkhwa,""
R80302275,Terbela Ghazi,Khyber Pakhtunkhwa,""
R80302281,Toru,Khyber Pakhtunkhwa,""
R80302382,Totakan,Khyber Pakhtunkhwa,""
R80302367,Wazir Bagh,Khyber Pakhtunkhwa,""
R80302422,Adamke Cheema,Punjab,""
R80302440,Adam Wehain,Punjab,""
R80302675,Ahsanpur,Punjab,""
RPK7205,Alam Garh,Punjab,""
RPK5785,Bara,Khyber Pakhtunkhwa,""
RPK5773,Jamrud,Khyber Pakhtunkhwa,""
R80302778,Amara Kalan,Punjab,""
R80302280,Akora Khattak,Khyber Pakhtunkhwa,""
R80302593,Aroop Town,Punjab,""
R80302696,Ali Pur Chattha,Punjab,""
R80302295,Aman Dara,Khyber Pakhtunkhwa,""
R80302394,Awagat,Punjab,""
R80302592,Badiana,Punjab,""
RPK7292,Bagrianwala,Punjab,""
R80302738,Bagwal Awan,Punjab,""
R80302544,Bahawal Garh,Punjab,""
R80302551,Bewal,Punjab,""
MRG-CITY-a2d6af0e-463,Sahiwal Chota,Punjab,""
MRG-CITY-bfb9ea19-d58,Sargodha Chak,Punjab,""
R80302545,Bhawana,Punjab,""
R80302594,Bhowanj,Punjab,""
R80302656,Chawinda,Punjab,""
R80302739,Choti,Punjab,""
R80302486,Dahranwala,Punjab,""
R80302751,Barian,Punjab,""
R80302559,Barjah,Punjab,""
RPK7278,Bazurgwal,Punjab,""
R80302775,Daultala,Punjab,""
R80302413,Dhoria,Punjab,""
R80302756,Bhaddar,Punjab,""
R80302742,Dina,Punjab,""
R80302473,Dukki,Punjab,""
RPK7284,Bhakoki,Punjab,""
R80302634,Puran,Punjab,""
R80302658,Baglow Yatimwala,Punjab,""
R80302480,Bhong,Punjab,""
R80302547,Ahmadpur East,Punjab,""
R80302470,Bhung,Punjab,""
RPK7200,Bhurch,Punjab,""
R80302601,Bhurban,Punjab,""
R80302587,Bindi,Punjab,""
R80302431,Domel,Punjab,""
R80302452,Chachran Sharif,Punjab,""
RPK7250,Chakanwali,Punjab,""
RPK7211,Chak Dhillu,Punjab,""
RPK7295,Chak Gillan,Punjab,""
RPK7242,Chak Khalaas,Punjab,""
RPK7201,Chak Pindi,Punjab,""
RPK7298,Chakrian,Punjab,""
RPK7221,Chak Sadda,Punjab,""
R80302510,Chela,Punjab,""
RPK7306,Cheni Nikowani,Punjab,""
R80302671,Chillianwala,Punjab,""
RPK7263,Chiryawala,Punjab,""
R80302542,Chitti Sheikhan,Punjab,""
RPK7256,Chopala,Punjab,""
RPK7261,Chowk Maitla,Punjab,""
R80302574,Chund Bharwana,Punjab,""
R80302800,Cod Kala,Punjab,""
R80302777,Dalowali,Punjab,""
R80302444,Dera Faridi,Punjab,""
R80302569,Dera Taj,Punjab,""
RPK7290,Dhool Khurd,Punjab,""
R80302460,Dilawar Cheema,Punjab,""
R80302692,Din Garh,Punjab,""
R80302729,Dodah,Punjab,""
RPK7228,Domeli,Punjab,""
RPK49,Dunga Bunga,Punjab,""
R80302609,Duranpur,Punjab,""
R80302393,Faizabad,Punjab,""
R80302420,Kallar Sayedan,Punjab,""
R80302436,Kamar Mushani,Punjab,""
R80302789,Fortabbas,Punjab,""
R80302427,Khairpur Tamewali,Punjab,""
R80302700,Gailywal,Punjab,""
R80302726,Garjakh,Punjab,""
R80302664,Ghakka Mitter,Punjab,""
R80302719,Khanqah Dogran,Punjab,""
R80302649,Ghaniaan,Punjab,""
R80302791,Gharial,Punjab,""
R80302516,Ghazipur,Punjab,""
RPK7296,Gillanwala,Punjab,""
R80302599,Gohad Pur,Punjab,""
R80302461,Khewra,Punjab,""
R80302618,Kot Chandna,Punjab,""
RPK7260,Haveli Lakha,Punjab,""
R80302620,Iskandarabad,Punjab,""
R80302402,Jamalpur,Punjab,""
R80306277,Jaranwala,Punjab,""
R80302617,Gakhar Chanan,Punjab,""
R80302489,Aminabad,Punjab,""
R80302608,Attock,Punjab,""
R80302588,Attowala,Punjab,""
R80302644,Baddomalhi,Punjab,""
R80302783,Bahawalnagar,Punjab,""
R80302319,Bala Garhi,Khyber Pakhtunkhwa,""
R80302512,Gagoo Mandi,Punjab,""
R80302766,Gopalpur,Punjab,""
R80302676,Garh Maharaja,Punjab,""
R80302715,Ghunike,Punjab,""
RPK7246,Ikhlasgarh,Punjab,""
R80302670,Gunna,Punjab,""
RPK7268,Hardas Pur,Punjab,""
R80302475,Hidayatabad,Punjab,""
R80302518,Hussain Abad,Punjab,""
RPK7225,Jaurah,Punjab,""
R80302556,Jhairanwala,Punjab,""
R80306616,Jhal Chakian,Punjab,""
RPK7230,Jhewranwali,Punjab,""
RPK7276,Karim Daad,Punjab,""
R80302712,Karimpura,Punjab,""
R80302623,Khaur,Punjab,""
R80302487,Khawaja Gunj,Punjab,""
RPK7235,Khojianwali,Punjab,""
R80302790,Kot Fateh Din,Punjab,""
R80302403,Kotha,Punjab,""
R80302479,Kot Haleem Khan,Punjab,""
R80302502,Kot Khizri,Punjab,""
R80302631,Kot Nakka,Punjab,""
R80302732,Kot Qutab,Punjab,""
R80302709,Dhunni,Punjab,""
RPK7285,Kung Bhudu,Punjab,""
R80302856,Digri,Sindh,""
R80302439,Dhudial,Punjab,""
R80302820,Daharki,Sindh,""
R80302421,Dhodak,Punjab,""
R80302704,Dijkot,Punjab,""
R80302562,Dinga,Punjab,""
R6109506,Diplo,Sindh,""
R80302911,Dokri,Sindh,""
RPK39,Dunyapur,Punjab,""
MRG-CITY-718d12b1-6a8,Faisalabad,Punjab,""
R80302781,Faqirwali,Punjab,""
R80306622,Farooqa,Punjab,""
R80302568,Fateh Jang,Punjab,""
RPK48,Fatehpur,Azad Kashmir,""
R80302660,Fazil Pur,Punjab,""
R80302750,Feroz Watan,Punjab,""
RPK1,Fort Abbas,Punjab,""
R80302730,Lodhran,Punjab,""
R80302306,Swabi,Khyber Pakhtunkhwa,""
R6589887,Bannu,Khyber Pakhtunkhwa,""
R80306612,Lak Mor,Punjab,""
RPK7249,Langrial,Punjab,""
R80302628,Lower Barian,Punjab,""
RPK7202,Makiana,Punjab,""
R80302823,Jacobabad,Sindh,""
R80302703,Jalal Pur Bhattian,Punjab,""
RPK5781,Jalalpur Pirwala,Punjab,""
R80302566,Malakwal,Punjab,""
R80306614,Mari Lak,Punjab,""
R80302706,Mandra,Punjab,""
R80302506,Mehrabad,Punjab,""
R80302614,Mehray Wala,Punjab,""
R80302657,Miani,Punjab,""
R80306620,Mona Depot,Punjab,""
R80302459,Muhammadpur,Punjab,""
R80302691,Mirpur,Punjab,""
R80306598,Mithalak,Punjab,""
R80302776,Narang Mandi,Punjab,""
R80302583,Nawan Jandanwala,Punjab,""
R80302478,Moazzamabad,Punjab,""
R80306618,Mona,Punjab,""
