R80302369,Abdara,,none
RPK56,Alpuri,al puri,high
R80302314,Aman Kot,,none
R80302345,Bakshi Pul,,none
R80302308,Bashir Abad,,none
R80302344,Batrasi,,none
R80302333,Chamkani,,none
R80302311,Char Bagh,char bagh (swat,high
R80302285,D.I.Khan,dera ismail khan,high
R80302386,Dingi,,none
R80302365,Gadoon,gadoon amazai,high
R80302321,Gandaf,,none
R80302378,Garhi Habibullah,garhi habib ull,high
R80302351,Garlat Balakot,,none
R80302269,Gumbad Maria,gumbat mera,medium
R80302318,Gurmani,,none
R80302296,Hattar,hattar ind. est,high
R80302381,Islampur,,none
R80302384,Kamalia,,none
R80302327,Karnal Sher Kallay,,none
R80302268,Khushhal Kot,,none
R80302346,Kotla Mohsin Khan,,none
R80302291,Kund,,none
R80302278,Malikabad,,none
R80302299,Mangora,mingora (swat),high
R80302277,Marghazar,margaz,none
R80302347,Matta,matta (swat),high
R80302293,Mouza Muhammad Khan,,none
R80302331,Nissata,,none
R80302271,Nizampur,,none
R80302300,Panr,,none
R80302390,Pir Piay,,none
R80302272,Potha,potha (a.k),low
R80302371,Qaldara,,none
R80302303,Rawlakot,,none
R80302337,Sangota,,none
R80302328,Sarae Norang,serai naurang,high
R80302387,Sathi Town,,none
R80302379,Seni Gumbat,,none
R80302297,Ser Dheri,sardheri,high
R80302372,Shagai,,none
R80302265,Shangla Hill,shangla,high
R80302335,Shirin Kotay,,none
R80302368,Sobra City,,none
R80302349,Tajori,,none
R80302304,Talash,,none
R80302275,Terbela Ghazi,,none
R80302284,Timergera,temargarah,high
R80302281,Toru,,none
R80302382,Totakan,,none
R80302367,Wazir Bagh,,none
R80302422,Adamke Cheema,,none
R80302440,Adam Wehain,,none
R80302675,Ahsanpur,,none
RPK7205,Alam Garh,,none
R80302435,Allahabad,ellah abad,medium
RPK5785,Bara,,none
RPK5773,Jamrud,,none
R80302778,Amara Kalan,,none
R80302593,Aroop Town,,none
R80302592,Badiana,,none
R80302658,Baglow Yatimwala,bangla yateem w,medium
RPK7292,Bagrianwala,,none
R80302738,Bagwal Awan,bhagwal,none
R80302544,Bahawal Garh,,none
MRG-CITY-a2d6af0e-463,Sahiwal Chota,,none
MRG-CITY-bfb9ea19-d58,Sargodha Chak,,none
R80302751,Barian,,none
R80302559,Barjah,,none
R80302767,Baseerpur,basir pur,high
RPK7278,Bazurgwal,,none
R80302756,Bhaddar,,none
RPK7284,Bhakoki,,none
R80302480,Bhong,bhone,none
R80302470,Bhung,,none
R80302601,Bhurban,bhurban pearl c,high
